"Sr","INDEX","DATE","..MAX","..MIN","AW","..R.F","SLP","MSP","DPT","RH","VP"
"122",42920,1969-05-03,34.8,19.8,13,0,941.65,1007.05,8.7,26,32.5
"123",42920,1969-05-04,36.7,18.6,10,0,942.1,1007.2,6.8,19,9.5
"124",42920,1969-05-05,38.6,19.7,9,0,941.6,1006.7,6.35,19,3.5
"125",42920,1969-05-06,39.4,20.7,9,0,940.5,1005.2,9.35,23,32
"126",42920,1969-05-07,40,23.5,18,0,939.65,1004.55,11.35,28.5,32
"127",42920,1969-05-08,39.6,25.6,25,0,939,1003.7,9.2,22,31.5
"128",42920,1969-05-09,39.8,24.2,20,0,939.1,1003.95,13.1,32,32
"129",42920,1969-05-10,39.7,22.2,17,0,940,1005.1,15.1,43,32
"130",42920,1969-05-11,40.7,21,17,0,938.75,1003.55,12.7,31,32
"131",42920,1969-05-12,39.9,22.6,19,0,937.5,1002.5,14.55,35.5,32
"132",42920,1969-05-13,38.2,22.3,20,0,937.55,1002.85,15.8,43.5,29.5
"133",42920,1969-05-14,36.6,20.9,17,0,937.3,1002.85,15.2,45.5,29
"134",42920,1969-05-15,36.9,21.8,16,0,938.75,1004.05,11.35,36.5,30.5
"135",42920,1969-05-16,37.9,21.9,14,0,938.3,1006.2,3.55,15.5,14.5
"136",42920,1969-05-17,40.4,24,14,0,937.95,1002.3,6.3,16.5,18.5
"137",42920,1969-05-18,40.3,22.7,18,0,934.7,998.85,5,16.5,32
"138",42920,1969-05-19,41.7,22.4,16,0,935.15,1000.25,14.65,39.5,29.5
"139",42920,1969-05-20,37.2,21.8,23,0,938.25,1003.8,19.95,56,29
"140",42920,1969-05-21,35.6,23.5,22,0,939.55,1005.2,19.05,54,28
"141",42920,1969-05-22,37.4,23,21,0,937.65,1002.75,20.25,55,30.5
"142",42920,1969-05-23,38.6,23.6,23,0,936.35,1001.4,20.2,54,30.5
"143",42920,1969-05-24,38,24.2,24,0,935.7,1000.35,20.9,55,32
"144",42920,1969-05-25,40,24,25,0,936.1,1000.95,21.1,54.5,29.5
"145",42920,1969-05-26,39.9,23.7,23,0,937.6,1002.8,18.35,49.5,27
"146",42920,1969-05-27,37.9,23.2,24,0,938.1,1003.4,16.15,45.5,29.5
"147",42920,1969-05-28,36.7,23.3,26,0,937.4,1002.7,17.9,48.5,29
"148",42920,1969-05-29,36.6,24,27,0,937.8,1003.3,20.3,55.5,27
"149",42920,1969-05-30,35.7,24.5,28,0,937.65,1003.05,19.6,53,28
"150",42920,1969-05-31,36.4,24,24,0,936.85,1002.1,20.65,56.5,28
"151",42920,1969-06-01,37,22.9,22,0,937.05,1002.3,17.35,45,30.5
"152",42920,1969-06-02,38.2,23.2,20,0,937.15,1002.4,18.6,49.5,27
"153",42920,1969-06-03,37.4,20.4,16,9,937.35,1003.7,21.95,78,19
"154",42920,1969-06-04,35.3,21.2,14,14,935.45,1001.15,20.4,62,27.5
"155",42920,1969-06-05,34.2,22,12,3.9,934.6,1000.1,21.75,65.5,19.5
"156",42920,1969-06-06,35,23.2,14,1,934.25,1000.65,22.2,84,23
"157",42920,1969-06-07,30.9,22.5,19,10.6,934.2,1000.95,21.95,90,27
"158",42920,1969-06-08,27.6,21.2,23,3.8,935.7,1002,21.65,77,27
"159",42920,1969-06-09,30.4,22.4,22,0,936.85,1002.75,21,66,27
"160",42920,1969-06-10,32.5,22.5,22,0,937.15,1002.95,20.35,62,28
"161",42920,1969-06-11,33.3,22.5,24,0,937.4,1003.2,19.55,58,28
"162",42920,1969-06-12,33.6,22.6,24,0,936.45,1002.05,20.25,59.5,28
"163",42920,1969-06-13,33.6,22,19,0,935.95,1001.45,20.45,60,28
"164",42920,1969-06-14,34.7,23.7,17,0.4,936.85,1003.45,21.95,82,28
"165",42920,1969-06-15,28.9,23,15,2.1,937.75,1003.8,21.1,68.5,29
"166",42920,1969-06-16,31.4,21,20,0,939.1,1005.4,19.65,63,28
"167",42920,1969-06-17,33.4,22.1,23,0,937.9,1004.1,19.85,65,27
"168",42920,1969-06-18,31.9,21.8,21,0,936.8,1002.7,20.2,63.5,27
"169",42920,1969-06-19,32,22.6,19,0,936.15,1002.35,21.15,70,26
"170",42920,1969-06-20,32.6,22.5,21,0,936.25,1002.75,21.65,78.5,27
"171",42920,1969-06-21,30,22.7,23,0.4,935.5,1001.15,20.85,64,27
"172",42920,1969-06-22,32.8,22.6,25,0,934.95,1000.75,19.85,59,27
"173",42920,1969-06-23,34.3,22.6,24,0,936.05,1001.7,20.4,59.5,25
"174",42920,1969-06-24,34.1,22.2,19,0,936.5,1002.1,20.55,60,27
"175",42920,1969-06-25,34.9,24,17,0,937,1003.25,21.95,78,25
"176",42920,1969-06-26,34.9,21,12,37,936.65,1002.65,22.8,75,13.5
"177",42920,1969-06-27,33.4,21.1,11,14.9,934.45,1000,23.05,71,28
"178",42920,1969-06-28,34,21,13,21.9,935.65,1002.25,23,91.5,29.5
"179",42920,1969-06-29,32,22.1,11,9.2,935.8,1001.9,22.3,75,28
"180",42920,1969-06-30,32.3,21.5,14,2.1,934.65,1000.9,20.6,74.5,16
"181",42920,1969-07-01,30.1,22.5,14,2.3,934.05,1000.4,22.1,84.5,30.5
"182",42920,1969-07-02,32.6,23,19,21.7,935.2,1001.85,22.7,90.5,28
"183",42920,1969-07-03,28.8,20.3,13,20.9,935.75,1002.55,21.1,86.5,27
"184",42920,1969-07-04,27.3,22.7,16,0,935.55,1001.75,21.4,74.5,28
"185",42920,1969-07-05,30,22.9,21,0,935.3,1001.4,21,71,27
"186",42920,1969-07-06,30.7,22.8,25,0,936.3,1002.65,21.3,77.5,27
"187",42920,1969-07-07,31.2,23,19,0,937.55,1004.15,20,73,28
"188",42920,1969-07-08,28.5,22,25,0,936.55,1002.95,20.5,72,27
"189",42920,1969-07-09,28.9,21.4,18,0,936.45,1002.85,20.05,68.5,25
"190",42920,1969-07-10,29.8,21.4,17,0,937.3,1003.9,20.7,76.5,27
"191",42920,1969-07-11,31,22.1,18,0,936.1,1002.1,20.65,68,26
"192",42920,1969-07-12,31.1,22.5,17,0,933.75,999.65,21.65,73.5,26
"193",42920,1969-07-13,32.6,23,15,0,932.05,998.4,22.25,87.5,14.5
"194",42920,1969-07-14,32.7,22.6,9,37,931.3,997.1,22.65,79.5,28
"195",42920,1969-07-15,32,22,11,16.5,933.1,999.75,22.4,92.5,24
"196",42920,1969-07-16,28.7,22,18,1.2,934.7,1001.1,21.45,83,25
"197",42920,1969-07-17,26.7,22.1,28,2.4,935.15,1001.8,20.65,82,27
"198",42920,1969-07-18,28.8,21,27,32.8,935.2,1001.75,22.05,87,27
"199",42920,1969-07-19,27.3,22.3,30,4.8,936.1,1002.7,21.35,81,26
"200",42920,1969-07-20,28.4,21.7,34,4.5,934.3,1001.3,20.95,90.5,27
"201",42920,1969-07-21,25.6,21.8,28,17.2,931.7,998.2,21.95,91.5,26
"202",42920,1969-07-22,24.8,20.8,19,16.1,932.3,998.55,21,78.5,23
"203",42920,1969-07-23,29.2,21.4,22,0.8,935.55,1001.9,21.4,77.5,27
"204",42920,1969-07-24,29,22,25,0.2,935.3,1001.5,20.6,72,28
"205",42920,1969-07-25,29.6,22.1,25,0,936.05,1002.65,21.1,82.5,27
"206",42920,1969-07-26,28.4,22,15,1.4,937.2,1004,21.4,85,27
"207",42920,1969-07-27,25.8,21.3,25,5,937.45,1004.3,20.7,80.5,28
"208",42920,1969-07-28,26.9,21.6,26,1.8,936,1003,21.05,87,27
"209",42920,1969-07-29,26.4,20.6,28,16.5,935.35,1002,21.15,83.5,27
"210",42920,1969-07-30,27.6,21.6,29,5.5,933.85,1000.35,21.45,81,28
"211",42920,1969-07-31,28,22,22,8.5,934.5,1001.25,22.15,93.5,29
"212",42920,1969-08-01,27.4,21.6,20,11.8,934.45,1001.35,21.4,89.5,27
"213",42920,1969-08-02,25.5,21.5,24,17.7,934.7,1001.45,21.5,86.5,27
"214",42920,1969-08-03,26.7,21.6,27,6.4,934.8,1001.8,21.45,94,27
"215",42920,1969-08-04,25.8,21.5,26,9.6,935.85,1003.05,21.15,93.5,27
"216",42920,1969-08-05,25.9,21.3,25,23.5,936.1,1002.95,20.9,84.5,27
"217",42920,1969-08-06,26.9,21.3,26,2.2,935,1001.75,21.3,88,27
"218",42920,1969-08-07,27.2,21,24,1.6,935.45,1002,20.6,80.5,27
"219",42920,1969-08-08,27.6,21,26,1.6,935.45,1002.25,20.95,87.5,27
"220",42920,1969-08-09,26.6,21.2,32,3.5,935.2,1002.2,20.75,89,27
"221",42920,1969-08-10,24.7,21,29,3.9,935.6,1002.5,21.2,87.5,27
"222",42920,1969-08-11,26.3,21.4,23,25.5,936.75,1003.55,20.8,81,27
"223",42920,1969-08-12,26,20.7,24,2.9,938.1,1005.2,20.6,86,26
"224",42920,1969-08-13,26.3,20.8,18,4,938.3,1005.5,20.7,89.5,27
"225",42920,1969-08-14,25.9,20.6,14,3.5,938.05,1005.05,20.65,82,27
"226",42920,1969-08-15,26.5,20.5,20,2.8,937.65,1004.9,20.45,90.5,27
"227",42920,1969-08-16,26.5,20.6,19,12.1,938.25,1005.45,20.5,88.5,27
"228",42920,1969-08-17,26.5,20.3,15,1.4,939.55,1006.65,20.4,81,27
"229",42920,1969-08-18,26.1,18.4,11,0,939.6,1006.45,20.75,78,26
"230",42920,1969-08-19,29,18.9,10,0,939.7,1006.6,20.3,77.5,14.5
"231",42920,1969-08-20,28.8,20,12,0,940.05,1007,20,76,28
"232",42920,1969-08-21,28.9,19.5,13,0,939.7,1006.7,20.65,79.5,27
"233",42920,1969-08-22,27.5,20.1,12,1.1,940.1,1007.4,19.9,82.5,31.5
"234",42920,1969-08-23,28,21,13,0,939.65,1006.6,21.15,80,32
"235",42920,1969-08-24,29.6,20.9,7,24.2,940.4,1007.5,21.55,85.5,0
"236",42920,1969-08-25,28.6,20,7,3.2,940.6,1007.9,21.9,90.5,4.5
"237",42920,1969-08-26,32.3,20.8,8,14.3,939.45,1006.3,21.6,82,8
"238",42920,1969-08-27,29,20.6,8,13.4,938.85,1005.8,22.95,91,23
"239",42920,1969-08-28,30.8,21,8,2.6,939.55,1006.15,21.85,81,27.5
"240",42920,1969-08-29,29.9,21.5,10,0,940.1,1007.25,20.95,85,29.5
"241",42920,1969-08-30,29.9,21.7,12,0.5,938.3,1005.15,22.25,88,32
"242",42920,1969-08-31,28.8,21.2,10,0.4,938.45,1004.8,22,77,32
"243",42920,1969-09-01,29.9,22.6,12,1.8,937.6,1004.35,22.4,87,29.5
"244",42920,1969-09-02,29.4,21,14,36.4,937.4,1004.2,21.95,87.5,28.5
"245",42920,1969-09-03,28.1,21.6,14,0.8,936.85,1003.85,21.5,91.5,30.5
"246",42920,1969-09-04,27.3,21.6,14,3,937.2,1004.2,21.7,90.5,29.5
"247",42920,1969-09-05,26.8,21.6,15,2.5,938,1005,21.8,89,27
"248",42920,1969-09-06,26.4,21.3,13,8.5,936.2,1003.1,21.4,86.5,28
"249",42920,1969-09-07,27.2,21.2,17,5.2,934.35,1001.2,21.35,90.5,28
"250",42920,1969-09-08,25.9,21.2,20,28.8,933.75,1000.85,20.8,93,29
"251",42920,1969-09-09,24.2,19.6,18,47.2,932.55,999.6,21.4,98,12.5
"252",42920,1969-09-10,23.2,20.2,23,151.4,934.15,1001.15,21.9,96.5,27
"253",42920,1969-09-11,25.6,20.6,27,13.5,937.2,1004.45,21.2,91,26
"254",42920,1969-09-12,26.3,21,21,3.4,938.9,1006.1,20.2,83.5,27
"255",42920,1969-09-13,27,20.2,22,0,940.45,1007.55,20.1,78,27
"256",42920,1969-09-14,27.9,20,17,0.1,939.75,1006.95,20.1,81.5,29.5
"257",42920,1969-09-15,28,18.3,15,0.1,939.6,1006.7,19.1,75.5,29.5
"258",42920,1969-09-16,27.9,18.8,9,0,940.1,1007,20.9,80.5,32
"259",42920,1969-09-17,29.6,20,13,0,939.95,1007.1,20.2,80,30.5
"260",42920,1969-09-18,28,20.3,15,0,938.95,1006.15,19.3,77.5,30.5
"261",42920,1969-09-19,27.6,19.6,17,0,939.1,1006.2,18.95,74.5,30.5
"262",42920,1969-09-20,28.1,20,20,0,939.3,1006.4,19.4,77.5,32
"263",42920,1969-09-21,28.1,19.6,21,0,939.55,1006.55,18.9,73.5,29
"264",42920,1969-09-22,28,19.8,26,0,940.55,1007.8,18.6,73,27
"265",42920,1969-09-23,28.6,19.8,22,0,940.8,1007.95,18.4,70.5,30.5
"266",42920,1969-09-24,29,18,14,0,941.35,1008.25,19.35,72.5,32
"267",42920,1969-09-25,29.6,17.6,13,0,941.9,1008.95,18.95,71.5,30.5
"268",42920,1969-09-26,31.2,18.8,10,0,941.8,1008.75,18.95,70,30.5
"269",42920,1969-09-27,30.7,18.8,9,0,941.9,1009,17.75,64.5,29
"270",42920,1969-09-28,30.8,18.6,6,0,942.4,1008.95,16.05,55,7
"271",42920,1969-09-29,32.3,20.1,6,0,943.2,1009.95,18.6,63.5,29.5
"272",42920,1969-09-30,32.6,19.6,7,0,942.7,1009.3,19.7,66.5,29.5
"273",42920,1969-10-01,31,18.1,8,0,942.35,1009.05,18.7,66.5,29.5
"274",42920,1969-10-02,31.2,17.2,10,0,942.5,1009.25,17,57.5,30.5
"275",42920,1969-10-03,32.6,15.3,8,0,943.2,1010.2,14.75,55,17
"276",42920,1969-10-04,32.6,19.5,8,0,943.25,1010.05,16.5,59,2.5
"277",42920,1969-10-05,32.1,16.2,7,0,943.3,1009.4,8.45,29.5,14.5
"278",42920,1969-10-06,33,14.8,7,0,942.8,1009.15,12.1,37.5,0
"279",42920,1969-10-07,33.8,15.6,6,0,942.05,1008.2,12.75,39,11.5
"280",42920,1969-10-08,33.2,15.4,6,0,941.95,1008.3,11.3,36.5,1
"281",42920,1969-10-09,33.7,14.8,8,0,942.55,1008.8,12.2,38.5,3.5
"282",42920,1969-10-10,34,16.3,6,0,943.4,1009.65,12.95,38.5,16
"283",42920,1969-10-11,34.5,15.6,7,0,943,1009.55,15.05,50,16
"284",42920,1969-10-12,34.4,15.6,9,0,943.15,1009.4,12.8,39,18
"285",42920,1969-10-13,34.4,16.4,7,0,943.85,1010.25,12.85,42,13.5
"286",42920,1969-10-14,33.9,16.6,6,0,943.85,1010.3,12.2,40.5,16
"287",42920,1969-10-15,34.3,16,5,0,943.9,1010.4,10.75,36,2.5
"288",42920,1969-10-16,34,15.5,6,0,943.55,1010.25,10.95,39.5,3.5
"289",42920,1969-10-17,33,15.2,7,0,942.8,1009.65,14.85,54,8
"290",42920,1969-10-18,30.5,16.4,13,0,941.2,1008.2,15.95,58.5,14
"291",42920,1969-10-19,30.5,20.5,11,0,941.25,1007.65,16.05,53,4.5
"292",42920,1969-10-20,30.2,20.6,7,0,942.5,1008.8,13.5,42,4.5
"293",42920,1969-10-21,34.2,18.4,6,0,943.2,1009.6,11.35,36,18
"294",42920,1969-10-22,34,15,6,0,942.25,1008.5,7.2,29,7
"295",42920,1969-10-23,34.5,15.2,7,0,941.8,1008.25,7.75,33,20.5
"296",42920,1969-10-24,33.7,15.5,6,0,943.35,1010.35,6.1,31.5,4.5
"297",42920,1969-10-25,32.4,14.2,7,0,944.4,1011.05,8.2,32,8
"298",42920,1969-10-26,33.3,14,10,0,944.75,1011.4,10.4,37,7
"299",42920,1969-10-27,33.6,14,8,0,944.25,1011,11.5,39,57.5
"300",42920,1969-10-28,33.5,13.6,6,0,943.9,1010.55,6.3,27,20.5
"301",42920,1969-10-29,33.6,16,5,0,944.1,1010.6,8.75,31.5,16
"302",42920,1969-10-30,33.4,15.4,5,0,944.95,1011.65,8.4,31,21.5
"303",42920,1969-10-31,33.4,14.1,6,0,944.55,1011.2,9.45,33,20.5
"304",42920,1969-11-01,33.3,14.5,6,0,943.9,1010.65,10.45,37.5,14.5
"305",42920,1969-11-02,33.6,15.2,7,0,944.25,1010.9,10.3,35,16
"306",42920,1969-11-03,33.5,14.4,8,0,943.5,1010,10.4,34.5,30.5
"307",42920,1969-11-04,33,13.3,6,0,944.6,1011.6,9.1,37,16
"308",42920,1969-11-05,32.3,12.9,6,0,945.4,1012.4,9.3,35,4.5
"309",42920,1969-11-06,32.3,14.5,7,0,944.9,1011.9,8.75,35,4.5
"310",42920,1969-11-07,30.9,13.6,8,0,942,1008.95,10.65,41,4.5
"311",42920,1969-11-08,30.4,16.4,8,0,939.6,1006.05,15.6,50,7
"312",42920,1969-11-09,31.4,21.1,7,0,939.1,1006.05,20.75,83,5.5
"313",42920,1969-11-10,26.4,21.4,9,0.5,942.55,1009.7,19.8,78,25
"314",42920,1969-11-11,29.5,19.2,10,10.1,943.25,1010.2,19.35,69.5,0
"315",42920,1969-11-12,31.5,19.5,5,27.9,942.75,1009.5,17.65,61.5,4.5
"316",42920,1969-11-13,31.6,18.2,4,0,942.45,1009.1,16.1,54,0
"317",42920,1969-11-14,32.2,18.6,5,0,942.3,1008.65,15.7,49,0
"318",42920,1969-11-15,33,17.8,6,0,942.4,1008.95,15.05,48,29
"319",42920,1969-11-16,32.1,17,5,0,943.75,1010.5,14.7,51,14.5
"320",42920,1969-11-17,33.2,21,5,0,944.15,1010.9,15.65,54,5.5
"321",42920,1969-11-18,32.6,18.5,6,0,944.55,1011.55,15.05,53.5,5.5
